folder,markdown_count
Project Management,211
Python/Interview Question/Leetcode (Python)/Medium,139
Python/Interview Question/Leetcode (Python)/Easy,127
SQL Interview Prep/1. GitHub SQL Practice Questions/Github SQL Practice Problems,84
Projects/PL - 400 Certification,80
Analyze/A Beautiful Mind,74
Analyze/Daily Reflections,71
Interview Question/StrataScratch/Unsorted,68
SQL Interview Prep/5. Patterns & Decomposition,68
Python/Visualization/Medium,63
Python/Interview Question/Leetcode (Python)/Hard,62
Projects/Enhanced Machine Learning Roadmap/Tasks,62
Interview Question/Data Lemur/Easy,50
Projects/MicroSoft Fabric,50
Google Advanced Data Analytics Professional Certification/The Nuts and Bolts of Machine Learning/Module 4,45
Google Advanced Data Analytics Professional Certification/Get Started with Python/Module 4,43
Interview Question/Data Lemur/Medium,41
Interview Question/StrataScratch/Aggregations & Group By/Grouping by Single & Multiple Columns,38
Agile/Agile Development,37
Interview Question/Leet Code (SQL)/Unsorted,36
Fabric Project/Projects,34
Google Advanced Data Analytics Professional Certification/The Nuts and Bolts of Machine Learning/Module 1,34
"Interview Question/StrataScratch/Aggregations & Group By/Simple Aggregations (COUNT, SUM, AVG)",33
"Interview Question/StrataScratch/Ranking, Ordering & Top N/Top N per Group (PARTITION BY with RANK/DENSE_RANK",33
"Interview Question/StrataScratch/Joins, Subqueries & Set Logic/Inner & Outer Joins",31
SQL Interview Prep/2. LinkedIn Interview Questions/Practice,30
Interview Question/Data Lemur/Unsorted,29
Google Advanced Data Analytics Professional Certification/Go Beyond the Numbers Translate Data into Insights/Module 3,29
Interview Question/Leet Code (SQL)/Chapter 3/3.2 LEFT JOIN,28
Python/Interview Question/Data Lemur (Python)/Medium,28
Google Advanced Data Analytics Professional Certification/Go Beyond the Numbers Translate Data into Insights/Module 2,28
Google Advanced Data Analytics Professional Certification/Regression Analysis Simplify Complex Data Relationships/Module 2,27
Python/Interview Question/Stratascratch (Python)/Medium/Meta,27
Google Advanced Data Analytics Professional Certification/The Nuts and Bolts of Machine Learning/Module 2,27
Google Advanced Data Analytics Professional Certification/Go Beyond the Numbers Translate Data into Insights/Module 4,26
Google Advanced Data Analytics Professional Certification/Get Started with Python/Module 1,26
Google Advanced Data Analytics Professional Certification/The Nuts and Bolts of Machine Learning/Module 5,25
Google Advanced Data Analytics Professional Certification/Get Started with Python/Module 3,25
Projects/Enhanced Machine Learning Roadmap/Projects,24
Python/Interview Question/Stratascratch (Python)/Easy/Amazon,24
Interview Question/Data Lemur/Hard,24
Google Advanced Data Analytics Professional Certification/Get Started with Python/Module 5,24
Google Advanced Data Analytics Professional Certification/Regression Analysis Simplify Complex Data Relationships/Module 3,24
Google Advanced Data Analytics Professional Certification/Go Beyond the Numbers Translate Data into Insights/Module 5,24
SQL Interview Prep/4. Reddit Questions/Essential,23
Python/Interview Question/Stratascratch (Python)/Medium/Google,23
Python/Interview Question/Data Lemur (Python)/Easy,22
Python/Visualization/Hard,22
Google Advanced Data Analytics Professional Certification/Foundations of Data Science/Module 1,22
Google Advanced Data Analytics Professional Certification/Foundations of Data Science/Module 2,21
Google Advanced Data Analytics Professional Certification/Foundations of Data Science/Module 4,21
"Interview Question/StrataScratch/Basic Filtering & Selection/Multiple Conditions (AND, OR, NOT)",21
Google Advanced Data Analytics Professional Certification/Get Started with Python/Module 2,20
Google Advanced Data Analytics Professional Certification/Regression Analysis Simplify Complex Data Relationships/Module 5,20
Python/Interview Question/Stratascratch (Python)/Medium/ESPN,20
"Interview Question/StrataScratch/Joins, Subqueries & Set Logic/Subqueries",20
Google Advanced Data Analytics Professional Certification/Regression Analysis Simplify Complex Data Relationships/Module 4,19
Google Advanced Data Analytics Professional Certification/Foundations of Data Science/Module 5,19
Interview Question/Leet Code (SQL)/Chapter 9/9.1,19
Python/Interview Question/Stratascratch (Python)/Easy/Airbnb,19
Google Advanced Data Analytics Professional Certification/Go Beyond the Numbers Translate Data into Insights/Module 1,18
Python/Interview Question/Stratascratch (Python)/Medium/City of San Francisco,18
Google Advanced Data Analytics Professional Certification/The Nuts and Bolts of Machine Learning/Module 3,18
Python/Interview Question/Stratascratch (Python)/Medium/Airbnb,18
Python/Interview Question/Stratascratch (Python)/Easy/Meta,18
Analyze/My Prompts,18
"Interview Question/StrataScratch/Basic Filtering & Selection/Filtering with Lists & Text (IN, =, LIKE)",18
Python/Interview Question/Stratascratch (Python)/Hard/Google,18
Python/Interview Question/Stratascratch (Python)/Easy/Google,17
Python/Interview Question/Stratascratch (Python)/Easy/ESPN,17
Projects/To-Do/Kotlin Google Developers/Unit 2- Get User Input Part I/Get User Input in an App -Part 2/Change the App Theme/Untitled,17
Google Advanced Data Analytics Professional Certification/Regression Analysis Simplify Complex Data Relationships/Module 6,17
Google Advanced Data Analytics Professional Certification/Regression Analysis Simplify Complex Data Relationships/Module 1,17
Projects/Enhanced Data Engineering Roadmap/AZ-900,16
"Interview Question/StrataScratch/Ranking, Ordering & Top N/Basic Sorting & Limiting (ORDER BY, LIMIT)",16
Python/Visualization/Easy,15
SQL Interview Prep/Interview Experience/07-05-2025/SQL Interview Prep Questions,15
Python/Interview Question/Stratascratch (Python)/Easy/City of San Francisco,15
My Portfolio At Flipcarbon,14
Interview Question/Leet Code (SQL)/Chapter 10/10.4,14
Interview Question/StrataScratch/Date & Time Analysis/Date Part Extraction & Filtering,14
Interview Question/Leet Code (SQL)/Chapter 2/2.5 Multiple Aggregations & Complex Grouping,14
Python/Interview Question/Stratascratch (Python)/Medium/Amazon,14
Projects/Certifications/Learnings,13
Interview Question/Leet Code (SQL)/Chapter 10/10.6,12
Python/Interview Question/Stratascratch (Python)/Hard/Meta,12
Projects/To-Do/Kotlin Google Developers/Unit 1- Kotlin Basics,12
Analyze/Me/Letters To Ani/Shared Trips,12
Python/Interview Question/Stratascratch (Python)/Medium/Wine Magazine,11
Interview Question/Leet Code (SQL)/Chapter 9/9.2,11
Interview Question/StrataScratch/Date & Time Analysis/Date Calculations & Durations,11
Python/Algorithm Problems/Goldman Sachs/Medium,11
"Interview Question/StrataScratch/Ranking, Ordering & Top N/Advanced Ranking & Ordering",11
Python/Interview Question/Stratascratch (Python)/Hard/City of San Francisco,11
Google Advanced Data Analytics Professional Certification/Foundations of Data Science/Module 3,11
Interview Question/Leet Code (SQL)/Chapter 10/10.3,11
Python/Interview Question/Stratascratch (Python)/Easy/Spotify,10
Python/Interview Question/Stratascratch (Python)/Easy/City of Los Angeles,10
Python/Interview Question/Stratascratch (Python)/Easy/Forbes,10
Interview Question/StrataScratch/Advanced Scenarios & Complex Logic/Multi-Step Logic with CTEs,10
Movement/DP 700 Professional Certification/Module 1 - Ingest Data With Fabric/Chapter 1.3 - Use Apache Spark in Microsoft Fabric,10
"Interview Question/StrataScratch/Comparisons, Differences & Percentage Change/Calculating Growth & Difference",10
Movement/DP 700 Professional Certification/Module 1 - Ingest Data With Fabric/Chapter 1.4 - Get Started With Real-Time Intelligence In Microsoft Fabric,10
Interview Question/Leet Code (SQL)/Chapter 9/9.4,10
Python/Projects/Easy/Business Analysis,9
Python/Projects/Medium/Business Analysis,9
Movement/DP 700 Professional Certification/Module 2 - Implement a Lakehouse with Microsoft Fabric/Chapter 2.3 Work with Delta Lake tables in Microsoft Fabric,9
Python/Interview Question/Stratascratch (Python)/Easy/Yelp,9
"Interview Question/StrataScratch/Joins, Subqueries & Set Logic/Set Operations (UNION, EXCEPT)",9
Python/Interview Question/Stratascratch (Python)/Medium/DoorDash,9
SOPs of Power BI/1. Data Source Connectivity & Governance SOP/1.1 Data Source Registration & Approval,8
Movement/DP 700 Professional Certification/Module 4 - Implement a data warehouse with Microsoft Fabric/Chapter 4.1 - Query a data warehouse in Microsoft Fabric,8
Movement/DP 700 Professional Certification/Module 4 - Implement a data warehouse with Microsoft Fabric/Chapter 4.3 - Secure a Microsoft Fabric data warehouse,8
Interview Question/StrataScratch/Basic Filtering & Selection/Numeric & Range Filtering,8
Python/Interview Question/Stratascratch (Python)/Medium/Uber,8
Python/Interview Question/Stratascratch (Python)/Hard/Wine Magazine,8
Interview Question/Leet Code (SQL)/Chapter 1/1.2 String Pattern Matching & Validation,8
VST Tillers Training Session,8
SQL Interview Prep/6. Cheat Sheet,8
Movement/DP 700 Professional Certification/Module 2 - Implement a Lakehouse with Microsoft Fabric/Chapter 2.4 Organize a Fabric lakehouse using medallion architecture design,8
Movement/DP 700 Professional Certification/Module 1 - Ingest Data With Fabric/Chapter 1.1 - Ingest Data With Microsoft Fabric,8
Movement/DP 700 Professional Certification/Module 5 - Manage a Microsoft Fabric environment/Chapter 5.4 - Manage a Microsoft Fabric environment/Chapter 7.1 Implement continuous integration and continuous delivery (CI-CD) in Microsoft Fabric,8
"Interview Question/StrataScratch/Comparisons, Differences & Percentage Change/Calculating Ratios & Percentages",8
Projects/Data Engineering Projects/Workout,8
Projects/Data Engineering Projects/Item Types,8
Interview Question/Leet Code (SQL)/Chapter 10/10.1,7
Interview Question/Leet Code (SQL)/Chapter 13/13.10,7
Analyze/Me/Letters To Ani/What I Admire About You,7
Projects/Forage Documentation,7
Projects/To-Do,7
